Stat,Test,ODI,T20,IPL
Matches,0,1,9,93
Innings,0,1,5,34
Balls,0,54,74,319
Runs,0,54,83,515
Maidens,0,0,0,0
Wickets,0,3,4,9
Avg,0.0,18.0,20.75,57.22
Eco,0,6,6.73,9.69
SR,0.0,18.0,18.5,35.44
BBI,-/-,3/54,3/5,1/5
BBM,-/-,3/54,3/5,1/5
