batter,runs,balls,fours,sixes,strike_rate,dismissal
Travis Head,11,9,2,0,122.22,c Phil Salt b Jacob Duffy
Abhishek Sharma,7,8,0,1,87.5,c Jitesh Sharma b Jacob Duffy
Ishan Kishan,80,38,8,5,210.53,c Phil Salt b Abhinandan Singh
Nitish Kumar Reddy,1,6,0,0,16.67,c Abhinandan Singh b Jacob Duffy
Heinrich Klaasen,31,22,2,1,140.91,c Phil Salt b Romario Shepherd
Salil Arora,9,6,0,1,150.0,c Devdutt Padikkal b Suyash Sharma
Aniket Verma,43,18,3,4,238.89,c Virat Kohli b Romario Shepherd
Harsh Dubey,3,3,0,0,100.0,c Devdutt Padikkal b Romario Shepherd
Harshal Patel,0,2,0,0,0.0,c Devdutt Padikkal b Bhuvneshwar Kumar
David Payne,6,5,0,0,120.0,not out
Jaydev Unadkat,4,3,0,0,133.33,not out
