batter,runs,balls,fours,sixes,strike_rate,dismissal
Ishan Kishan,13,17,2,0,76.47,b Stoinis
Rohit Sharma,6,7,1,0,85.71,c de Kock b Avesh Khan
Dewald Brevis,31,13,6,1,238.46,c Deepak Hooda b Avesh Khan
Suryakumar Yadav,37,27,3,0,137.04,c (sub)K Gowtham b Ravi Bishnoi
Tilak Varma,26,26,2,0,100.0,b Holder
Kieron Pollard,25,14,1,2,178.57,c Stoinis b Chameera
Fabian Allen,8,7,1,0,114.29,c Chameera b Avesh Khan
Jaydev Unadkat,14,6,2,1,233.33,run out (Stoinis/de Kock)
Murugan Ashwin,6,2,0,1,300.0,run out (de Kock/Chameera)
Tymal Mills,0,1,0,0,0.0,not out
