bowler,overs,maidens,runs,wickets,economy
Jason Holder,4,0,34,1,8.5
Dushmantha Chameera,4,0,48,1,12.0
Avesh Khan,4,0,30,3,7.5
Ravi Bishnoi,4,0,34,1,8.5
Marcus Stoinis,2,0,13,1,6.5
Krunal Pandya,2,0,16,0,8.0
