Stat,Test,ODI,T20,IPL
Matches,0,33,60,40
Innings,0,31,56,40
Runs,0,988,1717,1258
Balls,0,861,1035,721
Highest,0,122,141,89
Average,0,31.87,34.34,34
SR,0,114.76,165.90,174.48
Not Out,0,0,6,3
Fours,0,134,170,138
Sixes,0,20,83,67
Ducks,0,1,6,4
