Stat,Test,ODI,T20,IPL
Matches,3,4,37,3
Innings,6,3,26,3
Runs,135,29,403,31
Balls,255,38,273,21
Highest,37,18,48,16
Average,22.5,14.5,19.19,10.33
SR,52.95,76.32,147.62,147.62
Not Out,0,1,5,0
Fours,19,3,27,6
Sixes,2,0,22,0
Ducks,0,0,4,0
