bowler,overs,maidens,runs,wickets,economy
Dale Steyn,4,0,20,2,5.0
Ishant Sharma,3,0,22,0,7.33
Thisara Perera,4,0,19,1,4.75
Hanuma Vihari,2,0,5,0,2.5
Daren Sammy,4,0,22,4,5.5
Karn Sharma,1,0,6,0,6.0
Amit Mishra,2,0,20,0,10.0
