batter,runs,balls,fours,sixes,strike_rate,dismissal
Mayank Agarwal,1,5,0,0,20.0,lbw b Umesh
Dhawan,16,15,1,1,106.67,c Billings b Southee
B Rajapaksa,31,9,3,3,344.44,c Southee b Shivam Mavi
Livingstone,19,16,1,1,118.75,c Southee b Umesh
Raj Bawa,11,13,1,0,84.62,b Narine
Shahrukh Khan,0,5,0,0,0.0,c Nitish Rana b Southee
Harpreet Brar,14,18,1,1,77.78,b Umesh
Odean Smith,9,12,0,1,75.0,not out
Rahul Chahar,0,2,0,0,0.0,c Nitish Rana b Umesh
Rabada,25,16,4,1,156.25,c Southee b Russell
Arshdeep Singh,0,1,0,0,0.0,run out (Nitish Rana/Russell)
