batter,runs,balls,fours,sixes,strike_rate,dismissal
Shaun Marsh,4,6,0,0,66.67,b M Ashwin
Wriddhiman Saha,4,4,0,0,100.0,not out
Murali Vijay,53,49,5,2,108.16,c Dhoni b M Ashwin
David Miller,7,6,0,0,116.67,c Pietersen b M Ashwin
Glenn Maxwell,32,14,3,2,228.57,not out
Manan Vohra,51,33,7,0,154.55,lbw b Ankit Sharma
