Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"ENGLAND TOUR OF BANGLADESH, 2023",4(6),BAN,T20I,Dhaka,12 Mar 23,66.6,0,0
"ENGLAND TOUR OF BANGLADESH, 2023",67(42),BAN,T20I,Chattogram,09 Mar 23,159.5,4,4
"ENGLAND TOUR OF BANGLADESH, 2023",26(24),BAN,ODI,Chattogram,06 Mar 23,108.3,0,0
"ENGLAND TOUR OF BANGLADESH, 2023",76(64),BAN,ODI,Dhaka,03 Mar 23,118.7,5,2
"ENGLAND TOUR OF BANGLADESH, 2023",9(10),BAN,ODI,Dhaka,01 Mar 23,90,1,0
"ENGLAND TOUR OF SOUTH AFRICA, 2023",131(127),RSA,ODI,Kimberley,01 Feb 23,103.1,6,7
"ENGLAND TOUR OF SOUTH AFRICA, 2023",94*(82),RSA,ODI,Bloemfontein,29 Jan 23,114.6,8,3
"ENGLAND TOUR OF SOUTH AFRICA, 2023",36(42),RSA,ODI,Bloemfontein,27 Jan 23,85.7,4,0
"ENGLAND TOUR OF AUSTRALIA, 2022",1(4),AUS,ODI,Melbourne,22 Nov 22,25,0,0
"ENGLAND TOUR OF AUSTRALIA, 2022",29(34),AUS,ODI,Adelaide,17 Nov 22,85.2,2,0
ICC MENS T20 WORLD CUP 2022,26(17),PAK,T20I,Melbourne,13 Nov 22,152.9,3,1
ICC MENS T20 WORLD CUP 2022,80*(49),IND,T20I,Adelaide,10 Nov 22,163.2,9,3
ICC MENS T20 WORLD CUP 2022,28(23),SL,T20I,Sydney,05 Nov 22,121.7,2,1
ICC MENS T20 WORLD CUP 2022,73(47),NZ,T20I,Brisbane,01 Nov 22,155.3,7,2
ICC MENS T20 WORLD CUP 2022,0(2),IRE,T20I,Melbourne,26 Oct 22,0,0,0
ICC MENS T20 WORLD CUP 2022,18(18),AFG,T20I,Perth,22 Oct 22,100,3,0
"ENGLAND TOUR OF AUSTRALIA, 2022",65*(41),AUS,T20I,Canberra,14 Oct 22,158.5,7,1
"ENGLAND TOUR OF AUSTRALIA, 2022",17(13),AUS,T20I,Canberra,12 Oct 22,130.7,3,0
"ENGLAND TOUR OF AUSTRALIA, 2022",68(32),AUS,T20I,Perth,09 Oct 22,212.5,8,4
"SOUTH AFRICA TOUR OF ENGLAND, 2022",14(10),RSA,T20I,Southampton,31 Jul 22,140,2,0
"SOUTH AFRICA TOUR OF ENGLAND, 2022",29(14),RSA,T20I,Cardiff,28 Jul 22,207.1,1,3
