batter,runs,balls,fours,sixes,strike_rate,dismissal
Prithvi Shaw,66,40,8,3,165.0,b Bumrah
David Warner,10,8,1,1,125.0,c Hardik Pandya b Romario Shepherd
Abishek Porel,41,31,5,0,132.26,c Tim David b Bumrah
Tristan Stubbs,71,25,3,7,284.0,not out
Rishabh Pant,1,3,0,0,33.33,c Hardik Pandya b Gerald Coetzee
Axar Patel,8,7,1,0,114.29,run out (Nabi/Ishan Kishan)
Lalit Yadav,3,4,0,0,75.0,c Ishan Kishan b Gerald Coetzee
Kumar Kushagra,0,1,0,0,0.0,c Tilak Varma b Gerald Coetzee
Jhye Richardson,2,2,0,0,100.0,c Rohit b Gerald Coetzee
