Stat,Test,ODI,T20,IPL
Matches,0,0,0,19
Innings,0,0,0,18
Balls,0,0,0,288
Runs,0,0,0,469
Maidens,0,0,0,0
Wickets,0,0,0,13
Avg,0.0,0.0,0.0,36.08
Eco,0,0,0,9.77
SR,0.0,0.0,0.0,22.15
BBI,-/-,-/-,-/-,2/18
BBM,-/-,-/-,-/-,2/18
