batter,runs,balls,fours,sixes,strike_rate,dismissal
Yashasvi Jaiswal,4,2,1,0,200.0,c Axar b Khaleel Ahmed
Jos Buttler,19,17,2,1,111.76,b Axar
Sanju Samson,86,46,8,6,186.96,c Shai Hope b Mukesh Kumar
Riyan Parag,27,22,1,3,122.73,b Rasikh Salam
Shubham Dubey,25,12,2,2,208.33,c Tristan Stubbs b Khaleel Ahmed
Rovman Powell,13,10,1,1,130.0,b Mukesh Kumar
Donovan Ferreira,1,3,0,0,33.33,lbw b Kuldeep Yadav
Ravichandran Ashwin,2,3,0,0,66.67,c Shai Hope b Kuldeep Yadav
Trent Boult,2,3,0,0,66.67,not out
Avesh Khan,7,3,1,0,233.33,not out
