batter,runs,balls,fours,sixes,strike_rate,dismissal
Sachin Tendulkar,40,30,4,1,133.33,lbw b Warne
Harbhajan Singh,7,8,0,0,87.5,not out
Sanath Jayasuriya,16,21,0,0,76.19,c Pathan b Warne
Lasith Malinga,0,1,0,0,0.0,run out (Warne/Patel)
Jean-Paul Duminy,4,5,0,0,80.0,b Trivedi
Dwayne Bravo,1,3,0,0,33.33,c &amp; b Patel
Ajinkya Rahane,3,7,0,0,42.86,c Raut b Warne
Dhawal Kulkarni,1,4,0,0,25.0,lbw b Patel
Abhishek Nayar,35,18,4,1,194.44,run out (Ojha)
Chetanya Nanda,0,1,0,0,0.0,run out (Pathan)
Yogesh Takawale,18,22,2,0,81.82,c Ojha b Trivedi
