over,runs,wickets
1,7,0
2,11,0
3,9,0
4,2,0
5,1,0
6,5,0
7,9,0
8,15,0
9,8,0
10,18,0
11,1,0
12,11,0
13,9,0
14,4,0
15,15,0
16,2,0
17,14,0
18,3,0
19,3,0
