Stat,Test,ODI,T20,IPL
Matches,6,0,0,58
Innings,0,0,0,1
Balls,0,0,0,2
Runs,0,0,0,6
Maidens,0,0,0,0
Wickets,0,0,0,0
Avg,0.0,0.0,0.0,0.0
Eco,0,0,0,0
SR,0.0,0.0,0.0,0.0
BBI,-/-,-/-,-/-,0/6
BBM,-/-,-/-,-/-,0/6
