batter,runs,balls,fours,sixes,strike_rate,dismissal
Taranjeet Singh,9,6,2,0,150.0,lbw b Joshua Dowling
Ramesh Satheesan,23,17,3,1,135.29,c Kushaal Krishnakumar b Anthony Dowling
Avishka Iroshan,12,15,2,0,80.0,c Anthony Dowling b Prakash Mishra
Vasu Saini,21,11,3,0,190.91,lbw b Prakash Mishra
Chamalka Fernando,11,13,0,0,84.62,c Anthony Dowling b Jakob Gul
Irfan Ringku,40,23,4,1,173.91,c Milen Gogev b Anthony Dowling
Tharindu Sandaruwan,9,13,1,0,69.23,c Manan Bashir b Prakash Mishra
Eranga De Silva,7,8,1,0,87.5,b Anthony Dowling
Shantanu Vashisht,8,7,0,0,114.29,c Isa Zaroo b Anthony Dowling
Dilum Fernando,7,7,1,0,100.0,b Firas Hussain
