Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,31
Runs,0,0,106
Balls,0,0,205
Highest,0,0,12
Average,0,0,7.57
SR,0,0,51.71
Not Out,0,0,17
Fours,0,0,3
Sixes,0,0,0
Ducks,0,0,1
