Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,81
Balls,0,0,1585
Runs,0,0,1189
Maidens,0,0,16
Wickets,0,0,83
Avg,0.0,0.0,14.33
Eco,0,0,4.5
SR,0.0,0.0,19.1
BBI,-/-,-/-,5/8
BBM,-/-,-/-,5/8
