Stat,Test,ODI,T20,IPL
Matches,0,0,18,0
Innings,0,0,18,0
Runs,0,0,467,0
Balls,0,0,431,0
Highest,0,0,92,0
Average,0,0,38.92,0
SR,0,0,108.36,0
Not Out,0,0,6,0
Fours,0,0,41,0
Sixes,0,0,17,0
Ducks,0,0,0,0
