batter,runs,balls,fours,sixes,strike_rate,dismissal
Ishan Kishan,31,24,3,2,129.17,c Washington Sundar b Tahir
Brendon McCullum,45,27,5,2,166.67,c A Rahane b SN Thakur
Raina,8,8,0,0,100.0,run out (A Rahane/Dhoni)
Finch,13,6,1,1,216.67,c and b Tahir
Dwayne Smith,0,1,0,0,0.0,b Tahir
Karthik,29,26,3,0,111.54,run out (Dhoni)
Ravindra Jadeja,19,12,3,0,158.33,c Unadkat b Christian
Faulkner,6,7,0,0,85.71,c Manoj Tiwary b Unadkat
Sangwan,1,2,0,0,50.0,c R Tripathi b Unadkat
Basil Thampi,2,5,0,0,40.0,not out
Ankit Soni,0,1,0,0,0.0,b Unadkat
