Stat,Test,ODI,T20,IPL
Matches,46,99,85,65
Innings,74,70,25,34
Balls,3483,2213,300,560
Runs,2061,2036,387,795
Maidens,92,9,0,1
Wickets,51,57,17,37
Avg,40.41,35.72,22.76,21.49
Eco,3.55,5.52,7.74,8.52
SR,68.29,38.82,17.65,15.14
BBI,5/46,5/33,3/24,4/25
BBM,7/86,5/33,3/24,4/25
