Stat,Test,ODI,T20,IPL
Matches,46,99,85,65
Innings,80,95,80,59
Runs,2083,3098,2220,1659
Balls,3700,3276,1567,1144
Highest,181,177,103,117
Average,28.53,37.33,33.64,29.11
SR,56.30,94.57,141.68,145.02
Not Out,7,12,14,2
Fours,270,285,194,135
Sixes,32,103,113,98
Ducks,9,7,3,7
