bowler,overs,maidens,runs,wickets,economy
Mayank Yadav,4,0,40,2,10.0
Prince Yadav,4,0,44,1,11.0
Digvesh Rathi,4,0,48,1,12.0
Ravi Bishnoi,4,0,41,1,10.2
Avesh Khan,4,0,42,2,10.5
