over,runs,wickets
1,2,0
2,1,0
3,6,0
4,16,0
5,14,0
6,1,0
7,5,0
8,3,0
9,2,0
10,7,0
11,7,0
12,10,0
13,4,0
14,4,0
15,11,0
16,10,0
17,16,0
18,6,0
19,16,0
20,29,0
