batter,runs,balls,fours,sixes,strike_rate,dismissal
Tillakaratne Dilshan,33,36,5,0,91.67,c A Murtaza b Luke Wright
Chris Gayle,175,66,13,17,265.15,not out
AB de Villiers,31,8,3,3,387.5,c M Manhas b M Marsh
Virat Kohli,11,9,0,1,122.22,run out (A Dinda)
Saurabh Tiwary,2,2,0,0,100.0,c M Marsh b A Dinda
Ravi Rampaul,0,1,0,0,0.0,c M Marsh b A Dinda
