over,runs,wickets
1,2,0
2,2,0
3,8,0
4,4,0
5,4,0
6,10,0
7,14,0
8,6,0
9,11,0
10,7,0
11,3,0
12,4,0
13,14,0
14,14,0
15,11,0
16,31,0
17,14,0
18,10,0
19,10,0
20,6,0
