Stat,Test,ODI,T20,IPL
Matches,10,2,0,86
Innings,15,2,0,78
Runs,579,46,0,1712
Balls,896,88,0,1304
Highest,303,39,0,89
Average,41.36,23,0,23.45
SR,64.63,52.28,0,131.29
Not Out,1,0,0,5
Fours,70,6,0,188
Sixes,4,0,0,49
Ducks,2,0,0,5
