batter,runs,balls,fours,sixes,strike_rate,dismissal
Yuvraj Singh,16,14,2,0,114.29,c V Kohli b J Unadkat
Robin Uthappa,0,2,0,0,0.0,c RP Singh b M Kartik
Mithun Manhas,11,13,1,0,84.62,not out
Luke Wright,7,3,0,1,233.33,c de Villiers b J Unadkat
Ashok Dinda,1,1,0,0,100.0,not out
Aaron Finch,18,15,4,0,120.0,c M Kartik b R Rampaul
Bhuvneshwar Kumar,6,12,1,0,50.0,c A Karthik b RP Singh
Steven Smith,41,31,6,0,132.26,c T Dilshan b R Rampaul
Mitchell Marsh,24,23,0,2,104.35,b V Kumar
Ali Murtaza,5,4,1,0,125.0,st A Karthik b C Gayle
Ishwar Pandey,0,2,0,0,0.0,b C Gayle
