over,runs,wickets
1,8,0
2,1,0
3,3,0
4,14,0
5,3,0
6,15,0
7,7,0
8,12,0
9,15,0
10,9,0
11,17,0
12,6,0
13,18,0
14,9,0
15,18,0
16,3,0
17,9,0
18,21,0
19,14,0
20,20,0
