Stat,Test,ODI,T20,IPL
Matches,0,0,0,4
Innings,0,0,0,4
Balls,0,0,0,96
Runs,0,0,0,197
Maidens,0,0,0,0
Wickets,0,0,0,8
Avg,0.0,0.0,0.0,24.63
Eco,0,0,0,12.31
SR,0.0,0.0,0.0,12.0
BBI,-/-,-/-,-/-,4/34
BBM,-/-,-/-,-/-,4/34
