batter,runs,balls,fours,sixes,strike_rate,dismissal
Yashasvi Jaiswal,4,4,1,0,100.0,b Sam Curran
Kohler-Cadmore,18,23,2,1,78.26,c Jitesh Sharma b Rahul Chahar
Samson,18,15,3,0,120.0,c Rahul Chahar b Nathan Ellis
Riyan Parag,48,34,6,0,141.18,lbw b Harshal Patel
Ashwin,28,19,3,1,147.37,c Shashank Singh b Arshdeep Singh
Dhruv Jurel,0,1,0,0,0.0,c Harpreet Brar b Sam Curran
Rovman Powell,4,5,1,0,80.0,c and b Rahul Chahar
Donovan Ferreira,7,8,0,0,87.5,c Rossouw b Harshal Patel
Boult,12,9,2,0,133.33,run out (Shashank Singh/Bairstow)
Avesh Khan,3,2,0,0,150.0,not out
