Stat,Test,ODI,T20,IPL
Matches,0,0,25,0
Innings,0,0,20,0
Runs,0,0,276,0
Balls,0,0,214,0
Highest,0,0,58,0
Average,0,0,16.24,0
SR,0,0,128.98,0
Not Out,0,0,3,0
Fours,0,0,28,0
Sixes,0,0,9,0
Ducks,0,0,1,0
