Stat,Test,ODI,T20,IPL
Matches,33,95,42,9
Innings,65,93,40,9
Balls,7299,4946,863,162
Runs,3799,4298,1223,311
Maidens,256,61,2,0
Wickets,140,172,53,4
Avg,27.14,24.99,23.08,77.75
Eco,3.12,5.21,8.5,11.52
SR,52.14,28.76,16.28,40.5
BBI,7/23,5/30,3/26,2/54
BBM,9/55,5/30,3/26,2/54
