over,runs,wickets
1,22,0
2,12,0
3,17,0
4,8,0
5,11,0
6,2,0
7,6,0
8,10,0
9,9,0
10,10,0
11,9,0
12,9,0
13,8,0
14,7,0
15,9,0
16,13,0
17,6,0
18,19,0
19,16,0
20,7,0
