bowler,overs,maidens,runs,wickets,economy
Boult,4,0,16,1,4.0
Sandeep Sharma,4,0,48,1,12.0
Avesh Khan,4,0,44,3,11.0
Ashwin,4,0,19,2,4.8
Chahal,4,0,43,1,10.8
