batter,runs,balls,fours,sixes,strike_rate,dismissal
Ishan Kishan,0,4,0,0,0.0,c W Saha b Azmatullah
Rohit Sharma,43,29,7,1,148.28,lbw b Sai Kishore
Naman Dhir,20,10,3,1,200.0,lbw b Azmatullah
Dewald Brevis,46,38,2,3,121.05,c and b Mohit Sharma
Tilak Varma,25,19,1,1,131.58,c (sub)Abhinav Manohar b Spencer Johnson
Tim David,11,10,1,0,110.0,c David Miller b Mohit Sharma
Hardik Pandya,11,4,1,1,275.0,c Rahul Tewatia b Umesh
Gerald Coetzee,1,3,0,0,33.33,c and b Spencer Johnson
Shams Mulani,1,1,0,0,100.0,not out
Piyush Chawla,0,1,0,0,0.0,c Rashid Khan b Umesh
Jasprit Bumrah,1,1,0,0,100.0,not out
