Stat,Test,ODI,T20,IPL
Matches,0,4,71,60
Innings,0,1,11,1
Balls,0,12,164,6
Runs,0,20,255,18
Maidens,0,0,0,0
Wickets,0,1,5,0
Avg,0.0,20.0,51.0,0.0
Eco,0,10,9.33,18
SR,0.0,12.0,32.8,0.0
BBI,-/-,1/20,1/18,0/18
BBM,-/-,1/20,1/18,0/18
