batter,runs,balls,fours,sixes,strike_rate,dismissal
MS Dhoni,30,18,2,2,166.67,not out
Ajinkya Rahane,53,45,5,0,117.78,run out (DJ Bravo)
Saurabh Tiwary,1,2,0,0,50.0,run out (Raina)
Steven Smith,101,54,8,5,187.04,b DJ Bravo
Thisara Perera,3,2,0,0,150.0,not out
