over,runs,wickets
1,8,0
2,8,0
3,11,0
4,3,0
5,12,0
6,10,0
7,7,0
8,4,0
9,8,0
10,4,0
11,6,0
12,10,0
13,3,0
14,2,0
15,3,0
16,10,0
17,12,0
18,15,0
19,6,0
20,11,0
