bowler,overs,maidens,runs,wickets,economy
Mohit Sharma,3.0,0,33,0,11.0
Ravichandran Ashwin,4.0,0,29,0,7.25
John Hastings,3.0,0,29,1,9.67
Ravindra Jadeja,3.4,0,42,1,12.35
Pawan Negi,4.0,0,38,0,9.5
Suresh Raina,2.0,0,17,1,8.5
