bowler,overs,maidens,runs,wickets,economy
Alfonso Thomas,3,0,31,1,10.33
Shrikant Wagh,2,0,10,0,5.0
Wayne Parnell,4,0,35,3,8.75
Murali Kartik,4,0,30,0,7.5
Rahul Sharma,4,0,18,1,4.5
Yuvraj Singh,1,0,12,0,12.0
Jesse Ryder,2,0,8,1,4.0
