over,runs,wickets
1,4,0
2,13,0
3,8,0
4,8,0
5,9,0
6,14,0
7,6,0
8,6,0
9,6,0
10,13,0
11,7,0
12,5,0
13,5,0
14,13,0
15,20,0
16,9,0
17,14,0
18,23,0
19,20,0
20,9,0
