bowler,overs,maidens,runs,wickets,economy
Shami,4,0,33,1,8.2
Yash Dayal,3,0,18,1,6.0
Lockie Ferguson,3,0,22,0,7.3
Rashid Khan,4,0,18,1,4.5
Hardik Pandya,4,0,17,3,4.2
Sai Kishore,2,0,20,2,10.0
