Stat,Test,ODI,T20,IPL
Matches,6,3,1,50
Innings,11,3,0,50
Runs,302,127,0,2178
Balls,780,142,0,1472
Highest,87,62,0,108
Average,27.45,63.5,0,47.35
SR,38.72,89.44,0,147.97
Not Out,0,1,0,4
Fours,38,17,0,221
Sixes,0,1,0,70
Ducks,2,0,0,1
