batter,runs,balls,fours,sixes,strike_rate,dismissal
Yashasvi Jaiswal,14,11,1,1,127.27,run out (Mohit Sharma/Rashid Khan)
Jos Buttler,8,6,2,0,133.33,c Mohit Sharma b Hardik Pandya
Samson,30,20,3,1,150.0,c Hardik Pandya b Joshua Little
Padikkal,12,12,1,0,100.0,b Noor Ahmad
Ashwin,2,6,0,0,33.33,b Rashid Khan
Riyan Parag,4,6,0,0,66.67,lbw b Rashid Khan
Hetmyer,7,13,0,0,53.85,lbw b Rashid Khan
Dhruv Jurel,9,8,1,0,112.5,lbw b Noor Ahmad
Boult,15,11,1,1,136.36,b Shami
Zampa,7,9,0,0,77.78,run out (Abhinav Manohar)
Sandeep Sharma,2,5,0,0,40.0,not out
