batter,runs,balls,fours,sixes,strike_rate,dismissal
Jacob Bethell,5,5,1,0,100.0,c Rashid Khan b Mohammed Siraj
Virat Kohli,28,13,5,1,215.38,c Rashid Khan b Kagiso Rabada
Devdutt Padikkal,40,24,5,2,166.67,b Rashid Khan
Rajat Patidar,19,15,2,1,126.67,c Jason Holder b Arshad Khan
Jitesh Sharma,1,3,0,0,33.33,c Jos Buttler b Jason Holder
Tim David,9,6,0,1,150.0,c Jason Holder b Rashid Khan
Krunal Pandya,4,4,1,0,100.0,c Jason Holder b Arshad Khan
Romario Shepherd,17,15,0,2,113.33,c Sai Sudharsan b Jason Holder
Venkatesh Iyer,12,15,1,0,80.0,c Sai Sudharsan b Arshad Khan
Bhuvneshwar Kumar,15,15,2,0,100.0,not out
Josh Hazlewood,0,1,0,0,0.0,run out (Shubman Gill)
