bowler,overs,maidens,runs,wickets,economy
Trent Boult,4.0,0,24,1,6.0
Jayant Yadav,4.0,0,31,1,7.8
Krunal Pandya,2.1,0,18,1,8.3
Jasprit  Bumrah,4.0,0,29,1,7.2
Nathan Coulter-Nile,4.0,0,19,1,4.8
Kieron Pollard,1.0,0,9,0,9.0
