bowler,overs,maidens,runs,wickets,economy
Josak Khadka,4,0,20,2,5.0
Irfan Ringku,4,0,29,1,7.2
Taranjeet Singh,4,0,20,0,5.0
Dilum Fernando,3,1,22,1,7.3
Vasu Saini,4,0,28,1,7.0
Tharindu Sandaruwan,1,0,10,1,10.0
