Stat,Test,ODI,T20,IPL
Matches,21,32,30,45
Innings,38,32,30,44
Balls,3408,1565,659,945
Runs,1880,1640,982,1499
Maidens,112,11,1,1
Wickets,89,49,33,42
Avg,21.12,33.47,29.76,35.69
Eco,3.31,6.29,8.94,9.52
SR,38.29,31.94,19.97,22.5
BBI,7/13,5/39,4/22,3/17
BBM,11/86,5/39,4/22,3/17
