bowler,overs,maidens,runs,wickets,economy
Andrew Symonds,1.0,0,20,0,20.0
Shoaib Ahmed,3.0,0,25,2,8.33
Ryan Harris,3.0,0,29,0,9.67
Tirumalsetti Suman,3.0,0,24,1,8.0
Pragyan Ojha,4.0,0,24,0,6.0
RP Singh,2.5,0,26,0,10.4
Venugopal Rao,1.0,0,3,0,3.0
Rohit Sharma,2.0,0,12,2,6.0
