Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,2
Runs,0,0,14
Balls,0,0,23
Highest,0,0,12
Average,0,0,14
SR,0,0,60.87
Not Out,0,0,1
Fours,0,0,1
Sixes,0,0,0
Ducks,0,0,0
