Stat,Test,ODI,T20,IPL
Matches,0,0,7,0
Innings,0,0,7,0
Runs,0,0,95,0
Balls,0,0,112,0
Highest,0,0,35,0
Average,0,0,13.57,0
SR,0,0,84.83,0
Not Out,0,0,0,0
Fours,0,0,5,0
Sixes,0,0,4,0
Ducks,0,0,0,0
