bowler,overs,maidens,runs,wickets,economy
Adam Senn,4.0,0,18,4,4.5
Arjun Shahi,2.3,0,26,2,10.4
Mangala Gunasekara,1.0,0,14,0,14.0
Roshan Siriwardena,4.0,0,35,3,8.8
Akila Kalugala,1.0,0,5,0,5.0
Karan Singh,3.0,0,12,0,4.0
Ruel Brathwaite,3.0,0,27,1,9.0
