Stat,Test,ODI,T20,IPL
Matches,0,11,18,76
Innings,0,3,2,7
Runs,0,9,1,2
Balls,0,17,2,9
Highest,0,5,1,1
Average,0,4.5,0,0.4
SR,0,52.95,50.00,22.23
Not Out,0,1,2,2
Fours,0,1,0,0
Sixes,0,0,0,0
Ducks,0,0,0,4
