bowler,overs,maidens,runs,wickets,economy
Bhuvneshwar Kumar,4.0,0,38,1,9.5
Krishnakant Upadhyay,3.0,0,29,0,9.67
Wayne Parnell,3.5,0,27,3,7.71
Rahul Sharma,4.0,0,38,0,9.5
Yuvraj Singh,2.0,0,16,0,8.0
Angelo Mathews,3.0,0,34,1,11.33
