bowler,overs,maidens,runs,wickets,economy
Ankit Sharma,4,0,23,2,5.75
Dhawal Kulkarni,4,0,27,0,6.75
James Faulkner,4,0,47,0,11.75
Kevon Cooper,3,0,27,0,9.0
Stuart Binny,1,0,12,0,12.0
Rajat Bhatia,4,0,39,0,9.75
