Stat,Test,ODI,T20,IPL
Matches,69,138,96,50
Innings,122,134,92,50
Balls,11305,6402,2013,1090
Runs,4924,5878,2920,1571
Maidens,484,64,2,0
Wickets,162,159,108,60
Avg,30.4,36.97,27.04,26.18
Eco,2.61,5.51,8.7,8.65
SR,69.78,40.26,18.64,18.17
BBI,6/42,5/27,5/27,4/24
BBM,11/103,5/27,5/27,4/24
