bowler,overs,maidens,runs,wickets,economy
D Chahar,4,0,32,0,8.0
Sam Curran,4,0,56,0,14.0
Hazlewood,4,0,40,2,10.0
Thakur,4,1,20,2,5.0
Ravindra Jadeja,4,0,21,1,5.2
