Stat,Test,ODI,T20,IPL
Matches,0,0,0,7
Innings,0,0,0,7
Balls,0,0,0,137
Runs,0,0,0,214
Maidens,0,0,0,0
Wickets,0,0,0,7
Avg,0.0,0.0,0.0,30.57
Eco,0,0,0,9.37
SR,0.0,0.0,0.0,19.57
BBI,-/-,-/-,-/-,2/18
BBM,-/-,-/-,-/-,2/18
