bowler,overs,maidens,runs,wickets,economy
Brad Hodge,1,0,3,0,3.0
James Faulkner,4,1,16,5,4.0
Shane Watson,3,0,19,1,6.33
Pravin Tambe,3,0,20,0,6.67
Stuart Binny,1,0,9,0,9.0
Siddharth Trivedi,4,0,20,1,5.0
Kevon Cooper,4,0,39,0,9.75
