Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"INDIA TOUR OF AUSTRALIA, 2018-19",0-2 & 0-13,IND,Test,Adelaide,06 Dec 18,1 & 6.5,2 & 2,1 & 0
"AUSTRALIA V PAKISTAN IN UAE, 2018",DNB & 0-4,PAK,Test,Abu Dhabi,16 Oct 18,DNB & 2,DNB & 2,DNB & 0
"AUSTRALIA V PAKISTAN IN UAE, 2018",DNB & 0-6,PAK,Test,Dubai,07 Oct 18,DNB & 6,DNB & 1,DNB & 0
"ENGLAND, AUSTRALIA, NEW ZEALAND T20I TRI-SERIES, 2018",0-14,ENG,T20I,Hobart,07 Feb 18,14,1,0
"ENGLAND TOUR OF AUSTRALIA, 2018",0-9,ENG,ODI,Adelaide,26 Jan 18,4.5,2,0
"ENGLAND TOUR OF AUSTRALIA, 2018",0-55,ENG,ODI,Brisbane,19 Jan 18,7.8,7,0
"ENGLAND TOUR OF AUSTRALIA, 2018",0-6,ENG,ODI,Melbourne,14 Jan 18,12,0.5,0
"AUSTRALIA TOUR OF INDIA, 2017",0-38,IND,ODI,Nagpur,01 Oct 17,6.3,6,0
"AUSTRALIA TOUR OF INDIA, 2017",0-38,IND,ODI,Bengaluru,28 Sep 17,6.3,6,0
"AUSTRALIA TOUR OF INDIA, 2017",0-11,IND,ODI,Kolkata,21 Sep 17,5.5,2,0
"ICC CHAMPIONS TROPHY, 2017",0-9,ENG,ODI,Birmingham,10 Jun 17,4.5,2,0
"ICC CHAMPIONS TROPHY, 2017",1-33,BAN,ODI,London,05 Jun 17,4.1,8,0
"ICC CHAMPIONS TROPHY, 2017",0-22,NZ,ODI,Birmingham,02 Jun 17,5.5,4,0
"INDIAN PREMIER LEAGUE, 2017",2-30,DC,T20,Delhi,14 May 17,10,3,0
"INDIAN PREMIER LEAGUE, 2017",0-11,KKR,T20,Bengaluru,07 May 17,10,1.1,0
"INDIAN PREMIER LEAGUE, 2017",0-11,GL,T20,Bengaluru,27 Apr 17,22,0.5,0
"INDIAN PREMIER LEAGUE, 2017",0-18,GL,T20,Rajkot,18 Apr 17,9,2,0
