Stat,Test,ODI,T20,IPL
Matches,18,36,45,62
Innings,34,36,45,62
Balls,3620,1895,994,1440
Runs,1806,1585,1377,1921
Maidens,122,28,3,4
Wickets,60,65,57,74
Avg,30.1,24.38,24.16,25.96
Eco,2.99,5.02,8.31,8
SR,60.33,29.15,17.44,19.46
BBI,6/45,6/40,4/33,3/15
BBM,8/85,6/40,4/33,3/15
