Stat,Test,ODI,T20,IPL
Matches,18,36,45,62
Innings,29,22,18,37
Runs,268,207,114,276
Balls,513,187,77,193
Highest,51,38,21,30
Average,10.72,18.82,11.4,13.14
SR,52.25,110.70,148.06,143.01
Not Out,4,11,8,16
Fours,33,22,8,15
Sixes,4,7,7,18
Ducks,3,3,4,5
